// ID;CLIENTEID;PRODUCTO;CATEGORIA;PRECIO;CORREO
0;0;FREKVENS;Bar furniture;265.0;leaguel255@gmail.com
1;1;NORDVIKEN;Bar furniture;995.0;leaguel255@gmail.com
2;2;NORDVIKEN / NORDVIKEN;Bar furniture;2095.0;leaguel255@gmail.com
3;3;STIG;Bar furniture;69.0;leaguel255@gmail.com
4;4;NORBERG;Bar furniture;225.0;leaguel255@gmail.com
5;5;INGOLF;Bar furniture;345.0;leaguel255@gmail.com
6;6;FRANKLIN;Bar furniture;129.0;leaguel255@gmail.com
7;7;DALFRED;Bar furniture;195.0;leaguel255@gmail.com
8;8;FRANKLIN;Bar furniture;129.0;leaguel255@gmail.com
9;9;EKEDALEN / EKEDALEN;Bar furniture;2176.0;leaguel255@gmail.com
10;10;FRANKLIN;Bar furniture;149.0;leaguel255@gmail.com
11;11;INGOLF;Bar furniture;395.0;leaguel255@gmail.com
12;12;NORRARYD;Bar furniture;395.0;leaguel255@gmail.com
13;13;FREKVENS;Bar furniture;177.0;leaguel255@gmail.com
14;14;EKEDALEN;Bar furniture;345.0;leaguel255@gmail.com
15;15;TOMMARYD;Bar furniture;695.0;leaguel255@gmail.com
16;16;HENRIKSDAL;Bar furniture;395.0;leaguel255@gmail.com
17;17;KULLABERG;Bar furniture;140.0;leaguel255@gmail.com
18;18;JANINGE;Bar furniture;595.0;leaguel255@gmail.com
19;19;FRANKLIN;Bar furniture;149.0;leaguel255@gmail.com
20;20;EKEDALEN;Bar furniture;995.0;leaguel255@gmail.com
21;21;RÅSKOG;Bar furniture;175.0;leaguel255@gmail.com
22;22;JANINGE;Bar furniture;595.0;leaguel255@gmail.com
23;23;EKEDALEN;Bar furniture;796.0;leaguel255@gmail.com
24;24;EKEDALEN;Bar furniture;345.0;leaguel255@gmail.com
25;25;EKEDALEN;Bar furniture;345.0;leaguel255@gmail.com
26;26;EKEDALEN;Bar furniture;796.0;leaguel255@gmail.com
27;27;HENRIKSDAL;Bar furniture;695.0;leaguel255@gmail.com
28;28;STENSELE / NORRARYD;Bar furniture;1340.0;leaguel255@gmail.com
29;29;STENSELE;Bar furniture;550.0;leaguel255@gmail.com
30;30;NORRÅKER;Bar furniture;595.0;leaguel255@gmail.com
31;31;HENRIKSDAL;Bar furniture;435.0;leaguel255@gmail.com
32;32;NORRÅKER / NORRÅKER;Bar furniture;1266.0;leaguel255@gmail.com
33;33;YNGVAR;Bar furniture;475.0;leaguel255@gmail.com
34;34;HENRIKSDAL;Bar furniture;40.0;leaguel255@gmail.com
35;35;NORRÅKER;Bar furniture;395.0;leaguel255@gmail.com
36;36;NORDVIKEN;Bar furniture;275.0;leaguel255@gmail.com
37;37;NORRÅKER / NORRARYD;Bar furniture;1385.0;leaguel255@gmail.com
38;38;EKEDALEN / EKEDALEN;Bar furniture;2375.0;leaguel255@gmail.com
39;39;EKEDALEN / EKEDALEN;Bar furniture;2176.0;leaguel255@gmail.com
40;40;BERNHARD;Bar furniture;745.0;leaguel255@gmail.com
41;41;NORRÅKER / NORRÅKER;Bar furniture;1385.0;leaguel255@gmail.com
42;42;NORRÅKER / NORRARYD;Bar furniture;1266.0;leaguel255@gmail.com
